king_wen,binary_l1_to_l6,line,edge,modality,valence,commit_direction,terminal_sign,earlier_sign,later_sign
18,011001,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
18,011001,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
18,011001,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
19,110000,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
19,110000,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
19,110000,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
19,110000,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
19,110000,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
19,110000,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
20,000011,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
20,000011,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
20,000011,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
20,000011,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
20,000011,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
20,000011,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
21,100101,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
21,100101,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
21,100101,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
21,100101,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
21,100101,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
21,100101,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
22,101001,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
22,101001,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
22,101001,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
22,101001,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
22,101001,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
22,101001,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
23,100000,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
23,100000,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
23,100000,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
23,100000,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
23,100000,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
23,100000,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
24,000001,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
24,000001,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
24,000001,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
24,000001,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
24,000001,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
24,000001,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
25,100111,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
25,100111,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
25,100111,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
25,100111,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
25,100111,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
25,100111,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
26,111001,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
26,111001,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
26,111001,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
26,111001,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
26,111001,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
26,111001,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
27,100001,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
27,100001,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
27,100001,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
27,100001,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
27,100001,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
27,100001,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
28,011110,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
28,011110,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
28,011110,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
28,011110,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
28,011110,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
28,011110,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
29,010010,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
29,010010,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
29,010010,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
29,010010,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
29,010010,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
29,010010,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
30,101101,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
30,101101,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
30,101101,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
30,101101,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
30,101101,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
30,101101,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
31,001110,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
31,001110,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
31,001110,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
31,001110,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
31,001110,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
